,feature,weight,abs_weight
0,cna_loss_Mb,0.7849873275748975,0.7849873275748975
1,cna_frac_altered,0.7284166163273554,0.7284166163273554
2,snv_ms_driver_DAXX_Coding,0.6034940452069444,0.6034940452069444
3,cna_gain_Mb,0.5487045189936777,0.5487045189936777
4,snv_ms_driver_DYNC1I1_Intron,0.5167092205988267,0.5167092205988267
5,snv_ms_driver_SETD2_Intron,0.4331959991915586,0.4331959991915586
6,snv_ms_TNP,-0.4292164918373852,0.4292164918373852
7,snv_ms_driver_MEN1_Coding,0.4076034914044602,0.4076034914044602
8,cna_total_len_Mb,-0.34405940725320894,0.34405940725320894
9,snv_ms_driver_TP53_Coding,-0.3412145926208347,0.3412145926208347
